Question,Text
Q1,Which of these footwear brands have you heard of?
Q2,"Which of these brands do you associate with athletic footwear (e.g. sneaker, trainer)?"
Q3,Which of the following is most important to you in selecting athletic footwear?
Q4,Which of these brands would you consider buying athletic footwear from?
Q5,What characteristics do you most associate with the Crocs brand ?
Q15,Have you purchased athletic shoes in the past year?
Q6,How much do you usually spend on a pair of athletic shoes?
Q7,What is your age?
Q8,What is you gender?
Q9,What is your annual household income?
Q10,Are you a parent?
