Q1,Q2,Q3,Q4,Q5,Q15,Q6,Q7,Q8,Q9,Q10
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Sketchers,Asics",Comfort,"Nike,Crocs,Sketchers,Asics",Squishy,Yes,$30-$60,18-30,Female,"$0-$50,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Crocs,Sketchers,Asics",Comfort,"Nike,Crocs,Asics","Comfort, Ugly",Yes,$30-$60,30-40,Male,"$100,000-$150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics",Nike,Performance,"Nike,Asics",Lack of fashion sense.,Yes,More than $100,18-30,Female,"$50,000-$100,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Sketchers,Asics",Comfort,Asics,Waterproof,No,More than $100,18-30,Female,"$100,000-$150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,"Nike,Asics",Comfort,No,$60-100,Older than 50,Female,,Yes
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,"Nike,Asics",Holes in shoes,Yes,More than $100,18-30,Male,"$50,000-$100,000",No
"Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,"Nike,Asics",,Yes,$60-100,30-40,Female,"More than $150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,"Nike,Asics",Unattractive ,Yes,$60-100,30-40,Female,"More than $150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics",Nike,Comfort,Nike,Work. I work in a hospital setting. also Shrek.,Yes,More than $100,40-50,Female,"More than $150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Sketchers,Asics",Comfort,"Nike,Asics",Comfort. Casual. ,Yes,More than $100,18-30,Female,"$100,000-$150,000",No
"Nike,Crocs,Sketchers",Nike,Comfort,"Nike,Sketchers",Rubber shoes with holes in them for children. But comfortable,Yes,$60-100,18-30,Female,"$0-$50,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Style,"Nike,Sketchers","Corny, goofy, unstylish, worn by older people, worn by people who are unconcerned with looks",Yes,$60-100,18-30,Female,"$0-$50,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,Asics,"Dorky, annoying, stoner, works in a resturant",No,$60-100,18-30,Other,"$50,000-$100,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,"Nike,Asics",Wear for relaxing,Yes,More than $100,Older than 50,Male,"More than $150,000",Yes
"Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,"Nike,Asics","Comfort, ""nerdiness""",No,$30-$60,30-40,Female,"$50,000-$100,000",Yes
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,"Nike,Asics",Ugly ,Yes,More than $100,40-50,Female,"More than $150,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Sketchers,Asics",Performance,"Nike,Asics",,Yes,$0-$30,18-30,Female,"$50,000-$100,000",No
"Nike,Crocs,Sketchers,Asics",Nike,Comfort,"Nike,Sketchers",Comfortable ,Yes,$60-100,40-50,Male,"More than $150,000",Yes
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,"Nike,Asics",rubber,Yes,More than $100,18-30,Male,"$0-$50,000",No
"Nike,Crocs,Sketchers","Sperry,Crocs,Sketchers",Comfort,"Nike,Crocs,Sketchers",Comfort,Yes,$60-100,Older than 50,Male,"$50,000-$100,000",Yes
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,"Nike,Asics",Gayness ,No,More than $100,18-30,Male,"$50,000-$100,000",Yes
Asics,Asics,Comfort,Asics,"Light weight, convenient, long lasting",Yes,More than $100,40-50,Female,,No
"Nike,Crocs,Sketchers,Asics","Nike,Sketchers,Asics",Comfort,"Nike,Asics",Their unique style of shoe,Yes,$60-100,Less than 18,Male,"$100,000-$150,000",No
"Nike,Crocs,Sketchers","Nike,Sketchers",Comfort,Nike,"Childish, not very appealing ",No,$30-$60,Less than 18,Male,"$0-$50,000",No
"Nike,Crocs,Sketchers,Asics","Nike,Asics",Comfort,"Sperry,Sketchers",funny looking,Yes,$60-100,40-50,Male,,No
"Nike,Crocs,Sketchers","Nike,Sketchers",Comfort,Sketchers,Rubber shoes,No,$30-$60,18-30,Female,"$50,000-$100,000",No
"Sperry,Nike,Crocs,Sketchers,Asics","Nike,Asics",Performance,Sketchers,"Comfort, practicality, tackiness",Yes,More than $100,18-30,Female,"$50,000-$100,000",No
Nike,Nike,Comfort,Nike,Weird look,Yes,$30-$60,Older than 50,Male,"More than $150,000",Yes
